DC,Connected Server,Application,Server Type,Application Owners,App Environment
LVDC-GCG,CMHD-20SQL-02.GCDOMAIN.LOCAL,CLASS,NONPROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-USCUST,D054SQLDBCC02.USCUST.LOCAL,DBCC Offloading,PROD-DECOM, , 
LVDC-USCUST,P054ACRSQLU03.uscust.local,AACER,NONPROD,Keith Schwinn,
LVDC-USCUST,D054SQLDBCC03.USCUST.LOCAL,DBCC Offloading,PROD, , 
LVDC-USCUST,P054RVL1ASQL00.uscust.local,Reveal,DECOM,,
LVDC-Corp,P054INTSSMS01,Bankruptcy,NONPROD, ,
DQS,D061ESCAPPS01.dqscust.local\STATCOLLECTOR,StatCollector,NONPROD,EpiqMetricsDev@epiqglobal.com, 
TUDC,D077SQLDBCC01.amer.epiqcorp.com,DBCC Offloading,DECOM,IT-DBA@epiqglobal.com, 
TUDC,D077SQLDBCC02.amer.epiqcorp.com,DBCC Offloading,DECOM,IT-DBA@epiqglobal.com, 
TUDC,D077SQLDBCC03.amer.epiqcorp.com,DBCC Offloading,DECOM,IT-DBA@epiqglobal.com, 
TUDC,D077SQLDBCC04.amer.epiqcorp.com,DBCC Offloading,DECOM,IT-DBA@epiqglobal.com, 
TUDC,D077SQLDBCC05.amer.epiqcorp.com,DBCC Offloading,DECOM,IT-DBA@epiqglobal.com, 
LVDC-GCG,GCG-2020-SQINT.GCDOMAIN.LOCAL\INT ,2020,NONPROD,ECA_DataServicesLegacyTeam@epiqglobal.com,Legacy GCG
LVDC-GCG,GCG-2020SQTINT.GCDOMAIN.LOCAL\TINT,2020,NONPROD,ECA_DataServicesLegacyTeam@epiqglobal.com,Legacy GCG
UKDC,LON-U-DBA-01.CORP.DTIGLOBAL.COM\LDN_DBA_DEV,DBA utility,DECOM, , 
LVDC-GCG,DWHD-BGSQL01.GCDOMAIN.LOCAL\SQT1,CLASS,DECOM,DL_ECADataServicesManagement@epiqglobal.com, 
TKDC,P053UTLSQLS01.apcust.local\UTIL01,Utilities,DECOM, , 
LVDC-Corp,P054EBSLEGA01.AMER.EPIQCORP.COM,Bankruptcy,PROD, , 
LVDC-Corp,S061EBSLEGA01.AMER.EPIQCORP.COM,Bankruptcy,PROD, ,DECOM
LVDC-CORP,D054SQLDBCC01.amer.EPIQCORP.COM\SQL2019,DBA utility,DECOM,,
LVDC-USCUST,P054SQLCI1601.USCUST.LOCAL\PORTAL,DMX,PROD, , 
TUDC,TUK-U-DBA-01.corp.dtiglobal.com,SQL Management,DECOM,IT-DBA@epiqglobal.com, 
TUDC,ARM-P-IPRSQL-01.client.dtiglobal.com,Ecapture,DECOM,BAEBusinessAppE@epiqglobal.com, 
DQS,Q061ACRSQLS03.DQSCUST.LOCAL\AACER03,AACER,NONPROD,AACEROperations@epiqglobal.com, 
LVDC-EMS,ARQCSQL01.RLTVARC.local\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,ARQ C
LVDC-EMS,ARQCSQL02.RLTVARC.LOCAL\REL01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,ARQ C
LVDC-EMS,ARQCSQL03.RLTVARC.LOCAL\INVARIANT,Relativity,PROD,RTTRelativityTe@epiqglobal.com,ARQ C
LVDC-Corp,P016SQLC0101.AMER.EPIQCORP.COM\SQL01,Claims Matrix,PROD-DECOM,DL-ECADataServices@epiqglobal.com, 
LVDC-Corp,P016SQLC0102.AMER.EPIQCORP.COM\SQL02,Claims Matrix,PROD-DECOM,DL-ECADataServices@epiqglobal.com, 
DQS,Q061SQLCI6101.dqscust.local\AACER01,AACER,NONPROD,AACEROperations@epiqglobal.com, 
DQS,Q061SQLCI6102.dqscust.local\AACER02,AACER,NONPROD,AACEROperations@epiqglobal.com, 
LVDC-GCG,CMHD-CLSDEVSQ1.GCDOMAIN.LOCAL,CLASS,DECOM,ECA_DataServicesLegacyTeam@epiqglobal.com, 
DQS,Q061SQLCI0106.dqscust.local\UTIL01,Utilities,NONPROD-DECOM, ,CHG0068687
LVDC-GCG,CMH-KEYPASS.GCDOMAIN.LOCAL,KeyPass,DECOM,DL_ECADataServicesManagement@epiqglobal.com,ECAR has not released this server yet.
DQS,Q061SQLCI0105.dqscust.local\EDMX,DMX,NONPROD,DMX-Support@epiqglobal.com,RITM0138563
LVDC-GCG,CMHSQ01.GCDOMAIN.LOCAL\SQ01,CLASS,PROD-DECOM,ECA_DataServicesLegacyTeam@epiqglobal.com, 
LVDC-GCG,CMHT-CLSTSTSQ1.GCDOMAIN.LOCAL,CLASS,DECOM,ECA_DataServicesLegacyTeam@epiqglobal.com, 
LVDC-Corp,D016RDSWRKS01.AMER.EPIQCORP.COM\EDMADEV,RDS,NONPROD, , 
LVDC-Corp,D054EDWSISS01.AMER.EPIQCORP.COM,ECAR,NONPROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,D054EDWSQLS01.AMER.EPIQCORP.COM,ECAR,NONPROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-USCUST,D054SQLDBCC04.USCUST.LOCAL,DBCC Offloading,PROD-DECOM, , 
LVDC-USCUST,D054SQLDBCC05.USCUST.LOCAL,DBCC Offloading,PROD-DECOM, , 
LVDC-USCUST,D054SQLDBCC06.USCUST.LOCAL,DBCC Offloading,PROD-DECOM, , 
DQS,D061ACRSQLS01.dqscust.local\AACER01,AACER,NONPROD,AACEROperations@epiqglobal.com, 
DQS,D061BPLSQLS01.dqscust.local\BPL,BPL,NONPROD, , 
LVDC-Ranger,D061CMXSQLB01.RANGER.EPIQ\HIPAADA01,Claims Matrix,Decom,DL-ECADataServices@epiqglobal.com,Apr 25 2022
LVDC-Ranger,D061CMXSSRS01.RANGER.EPIQ\RNGRSSRSDEV,Claims Matrix,NONPROD,DL-ECADataServices@epiqglobal.com, 
DQS,D061CRMSQLA01.dqscust.local,CRM,NONPROD, , 
DQS,D061DDPSQLS01.dqscust.local\DDP,Doc Delivery Portal,NONPROD,Chapter 7, 
LVDC-Corp,D061EBSRPTB01.AMER.EPIQCORP.COM\EBSSSRS,SSRS,NONPROD,EBS-ProdDevTeam@epiqglobal.com, 
LVDC-Corp,D061EBSSQLB01.AMER.EPIQCORP.COM\EBS,Bankruptcy,NONPROD,EBS-ProdDevTeam@epiqglobal.com, 
DQS,D061ECASQLD01.dqscust.local\CEFASDEV,Claims Matrix,DECOM,DL_ECADataServicesManagement@epiqglobal.com, 
DQS,D061ECFSQLS01.dqscust.local\ECF,ECF (Epiq Court Filing),NONPROD,Chapter 11, 
DQS,D061PRTSQLS01.dqscust.local\PORTAL,EpiqService,NONPROD,Craig Brass, 
DQS,D061PRTSQLS01.dqscust.local\PORTALTEMP,EpiqService,NONPROD,Craig Brass, 
DQS,D061TCMSQLS01.dqscust.local\TCMS,Trustee Case Management System,NONPROD, , 
LVDC-Corp,D061TFSSQLS01.AMER.EPIQCORP.COM,TFS,NONPROD, , 
LVDC-Corp,D061WFECASQLS01.AMER.EPIQCORP.COM\SQL01,Claims Matrix,NONPROD, , 
LVDC-Corp,D061WFSQLSSRS01.AMER.EPIQCORP.COM\SSISRS,Claims Matrix,DECOM, , 
LVDC-EMS,ARQCSQL04.RLTVARC.LOCAL\REL02,Relativity,PROD,RTTRelativityTe@epiqglobal.com,ARQ C
TUDC,P077RL2ASQL03.client.dtiglobal.com\DIST03,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel04
LVDC-GCG,CMHP-DYNGP01.GCDOMAIN.LOCAL,Dynamics,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-GCG,CMH-SQLARC1.GCDOMAIN.LOCAL,CLASS,PROD,ECA_DataServicesLegacyTeam@epiqglobal.com, 
LVDC-EMS,ARQFRLSQL00.ARQF.local,Relativity,DECOM,,Send decom request to ServerOps
