Datacenter,SqlInstance,DatabaseName,State,RecoveryModel,LastFull,TimeSince LastFull_inDays,FullBackupSize,LastT-Log,TimeSince LastT-Log_inMins,T-LogBackupSize,LastUpdated
AUDC,AUS-C-ALLSQL-01.WORDWAVE.COM.AU,DBASupport,ONLINE,SIMPLE,02-04-2023 22:00,3,0.13,02-01-1900 00:00,0,,05-04-2023 03:03
AUDC,AUS-C-ALLSQL-01.WORDWAVE.COM.AU,iToms_CCC,ONLINE,FULL,02-04-2023 22:00,3,0.33,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-C-ALLSQL-01.WORDWAVE.COM.AU,lansweeperdb,ONLINE,FULL,02-04-2023 22:00,3,0.12,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-C-ALLSQL-01.WORDWAVE.COM.AU,SQLAdmin,ONLINE,FULL,02-04-2023 22:00,3,0.46,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-C-DMZSQL-01,AUS%5FRealtime,ONLINE,FULL,02-04-2023 00:00,3,0.26,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-C-DMZSQL-01,AUS%5FREATIME_DELETE,ONLINE,FULL,02-04-2023 00:00,3,0,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-C-DMZSQL-01,Australia%20RealtimeDELETE,ONLINE,FULL,02-04-2023 00:00,3,0,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-C-DMZSQL-01,DBASupport,ONLINE,SIMPLE,02-04-2023 00:00,3,0.03,02-01-1900 00:00,0,,05-04-2023 03:03
AUDC,AUS-C-DMZSQL-01,master_old,ONLINE,FULL,02-04-2023 00:00,3,0.04,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-C-DMZSQL-01,OfficeStatus,ONLINE,FULL,02-04-2023 00:00,3,0,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-C-DMZSQL-01,openfire,ONLINE,FULL,02-04-2023 00:01,3,6.22,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-C-DMZSQL-01,REALTIME%5FAUS,ONLINE,FULL,02-04-2023 00:01,3,0,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-C-DMZSQL-01,ReportServer,ONLINE,FULL,02-04-2023 00:01,3,0,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-C-DMZSQL-01,ReportServerTempDB,ONLINE,SIMPLE,02-04-2023 00:01,3,0,02-01-1900 00:00,0,,05-04-2023 03:03
AUDC,AUS-C-DMZSQL-01,SG%20HK%20Realtime,ONLINE,FULL,02-04-2023 00:01,3,0.4,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-D-ALLSQL-60.WORDWAVE.COM.AU,DBASupport,ONLINE,SIMPLE,31-03-2023 21:00,5,0.03,02-01-1900 00:00,0,,05-04-2023 03:03
AUDC,AUS-D-ALLSQL-60.WORDWAVE.COM.AU,iToms_CCC,ONLINE,FULL,31-03-2023 21:00,5,0.04,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-D-ALLSQL-60.WORDWAVE.COM.AU,iTOMSAUS,ONLINE,FULL,31-03-2023 21:00,5,0.15,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-D-ALLSQL-60.WORDWAVE.COM.AU,MacTEST,ONLINE,FULL,31-03-2023 21:00,5,0,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-D-ALLSQL-60.WORDWAVE.COM.AU,NT_Audio,ONLINE,FULL,31-03-2023 21:00,5,0.28,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-D-ALLSQL-60.WORDWAVE.COM.AU,NTPortal,ONLINE,FULL,31-03-2023 21:00,5,0.57,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-D-ALLSQL-60.WORDWAVE.COM.AU,OfficeStatus,ONLINE,FULL,31-03-2023 21:00,5,0.01,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-D-ALLSQL-60.WORDWAVE.COM.AU,SQLAdmin,ONLINE,FULL,31-03-2023 21:00,5,0,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-D-ALLSQL-60.WORDWAVE.COM.AU,toms,ONLINE,SIMPLE,31-03-2023 21:19,5,263.4,02-01-1900 00:00,0,,05-04-2023 03:03
AUDC,AUS-D-ALLSQL-60.WORDWAVE.COM.AU,tomsACT,ONLINE,SIMPLE,31-03-2023 21:19,5,0.38,23-12-2018 20:11,2251132,0,05-04-2023 03:03
AUDC,AUS-D-ALLSQL-60.WORDWAVE.COM.AU,tomsACT1,ONLINE,FULL,31-03-2023 21:20,5,13.9,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,AUS-D-ALLSQL-60.WORDWAVE.COM.AU,TOMSDB,ONLINE,FULL,31-03-2023 21:56,5,1063.12,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,P076TOMSQL01.wordwave.com.au\TOMS,Bdc_Service_DB_49f76f3f09674dce9900278a1381bb80,ONLINE,FULL,31-03-2023 20:04,5,0,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,P076TOMSQL01.wordwave.com.au\TOMS,Bdc_Service_DB_8a9c3cc9e628430ebe8a244fb353812e,ONLINE,FULL,31-03-2023 20:04,5,0,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,P076TOMSQL01.wordwave.com.au\TOMS,DBASupport,ONLINE,SIMPLE,31-03-2023 20:04,5,0.02,02-01-1900 00:00,0,,05-04-2023 03:03
AUDC,P076TOMSQL01.wordwave.com.au\TOMS,DTIGlobal,ONLINE,FULL,31-03-2023 20:04,5,0,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,P076TOMSQL01.wordwave.com.au\TOMS,FTPS-ServU,ONLINE,FULL,31-03-2023 20:04,5,0.01,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,P076TOMSQL01.wordwave.com.au\TOMS,Serv-u,ONLINE,FULL,31-03-2023 20:04,5,0.01,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,P076TOMSQL01.wordwave.com.au\TOMS,SQLAdmin,ONLINE,FULL,31-03-2023 20:04,5,0.03,05-04-2023 03:00,3,0,05-04-2023 03:03
AUDC,P076TOMSQL01.wordwave.com.au\TOMS,tomsACT,ONLINE,SIMPLE,31-03-2023 20:00,5,0.36,02-01-1900 00:00,0,,05-04-2023 03:03
AUDC,P076TOMSQL01.wordwave.com.au\TOMS,TOMSDB,ONLINE,FULL,31-03-2023 20:04,5,45.28,05-04-2023 03:00,3,0,05-04-2023 03:03
AZUR,IT-D-WACOURT-SQ.wordwave.com.au,DBASupport,ONLINE,SIMPLE,31-03-2023 22:25,5,0.04,02-01-1900 00:00,0,,05-04-2023 03:03
AZUR,IT-D-WACOURT-SQ.wordwave.com.au,tomsCCC,ONLINE,SIMPLE,31-03-2023 22:25,5,0.44,02-01-1900 00:00,0,,05-04-2023 03:03
AZUR,IT-D-WACOURT-SQ.wordwave.com.au,SSISDB,ONLINE,FULL,31-03-2023 22:25,5,0.01,05-04-2023 01:00,3,0,05-04-2023 03:03
DEDC,P063IRDPSQLS01.eucust.local,master,ONLINE,SIMPLE,09-02-2023 14:00,55,0.01,,,,05-04-2023 03:03
DEDC,P063IRDPSQLS01.eucust.local,model,ONLINE,FULL,09-02-2023 14:00,55,0,,,,05-04-2023 03:03
DEDC,P063IRDPSQLS01.eucust.local,msdb,ONLINE,SIMPLE,09-02-2023 14:00,55,0.1,,,,05-04-2023 03:03
DEDC,P063IRDPSQLS01.eucust.local,DBASupport,ONLINE,SIMPLE,09-02-2023 14:00,55,0.02,,,,05-04-2023 03:03
DEDC,P063IRDPSQLS01.eucust.local,IrisRDPTool,ONLINE,FULL,09-02-2023 14:00,55,0.2,10-02-2023 10:53,77290,0,05-04-2023 03:03
HKDC,P062CTXSQLS01.apcust.local\CITRIX,ctx_conflog_062,ONLINE,FULL,01-04-2023 20:00,4,0.01,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062CTXSQLS01.apcust.local\CITRIX,ctx_ds_062,ONLINE,FULL,01-04-2023 20:00,4,0.01,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062CTXSQLS01.apcust.local\CITRIX,DBASupport,ONLINE,SIMPLE,01-04-2023 20:00,4,0.04,,,,05-04-2023 03:03
HKDC,P062CTXSQLS01.apcust.local\CITRIX,EdgeSight_062,ONLINE,FULL,31-03-2023 20:00,5,0.13,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062CTXSQLS01.apcust.local\CITRIX,ReportServer,ONLINE,FULL,01-04-2023 20:00,4,0.03,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062CTXSQLS01.apcust.local\CITRIX,ReportServerTempDB,ONLINE,SIMPLE,01-04-2023 20:00,4,0,,,,05-04-2023 03:03
HKDC,P062EDXSQLS02.apcust.local\EDMX,ConfigurationDatabase,ONLINE,FULL,31-03-2023 20:00,5,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062EDXSQLS02.apcust.local\EDMX,DBASupport,ONLINE,SIMPLE,01-04-2023 20:01,4,0.02,,,,05-04-2023 03:03
HKDC,P062EDXSQLS02.apcust.local\EDMX,dmxwpcsla7_5,ONLINE,FULL,01-04-2023 20:00,4,0.09,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062EDXSQLS02.apcust.local\EDMX,eDMX_Admin,ONLINE,FULL,01-04-2023 20:09,4,27.45,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062EDXSQLS02.apcust.local\EDMX,eDMX_Admin_HK,ONLINE,FULL,31-03-2023 20:01,5,2.76,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062EDXSQLS02.apcust.local\EDMX,EpiqStreamline,ONLINE,FULL,31-03-2023 20:01,5,0.08,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062EDXSQLS02.apcust.local\EDMX,PulseEDMX,ONLINE,FULL,01-04-2023 20:00,4,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062EDXSQLS02.apcust.local\EDMX,ReplTest,ONLINE,FULL,01-04-2023 20:00,4,1.92,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062EDXSQLS02.apcust.local\EDMX,ServiceRequestReplication,ONLINE,FULL,31-03-2023 20:01,5,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062EDXSQLS02.apcust.local\EDMX,SwarmProd01,ONLINE,FULL,31-03-2023 20:01,5,0.01,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062EDXSQLS02.apcust.local\EDMX,SwarmUI7_5,ONLINE,FULL,01-04-2023 20:01,4,4.35,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,DBASupport,ONLINE,SIMPLE,01-04-2023 20:00,4,0.02,,,,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseResource,ONLINE,FULL,01-04-2023 20:00,4,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,EpiqMetrics,ONLINE,FULL,01-04-2023 20:14,4,82.86,05-04-2023 18:00,3,0.02,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P098765,ONLINE,FULL,01-04-2023 20:00,4,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P1234444,ONLINE,FULL,01-04-2023 20:00,4,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1080915,ONLINE,FULL,01-04-2023 20:14,4,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1010000,ONLINE,FULL,31-03-2023 20:00,5,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-10809189,ONLINE,FULL,01-04-2023 20:00,4,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1035673,ONLINE,FULL,01-04-2023 20:00,4,0,05-04-2023 18:00,3,0,05-04-2023 03:03
